"","Well","Tray X (kw)","Tray Y (kw)","Trigger Pulse Width","Time 1","Time 2","Time 3","Drop Phase","ROI Bits 1-16","ROI Bits 17-32","Classifier Bits","Sort Result Bits","Sort Enable Bits","FSC","*[488] 530/40","SSC","*[488] 670/30","[488] 530/40","*[488] 710/50","[488] 670/30","*[561] 585/29","[488] 710/50","*[561] 610/20","[561] 585/29","*[561] 670/30","[561] 610/20","*[561] 710/30","[561] 670/30","*[561] 750 LP","[561] 710/30","*[640] 670/30","[561] 750 LP","*[640] 720/40","[640] 670/30","*[640] 750 LP","[640] 720/40","*[355] 460/50","[640] 750 LP","*[355] 670/30","[355] 460/50","*[405] 460/50","[355] 670/30","*[405] 520/35","[405] 460/50","*[405] 650 LP","[405] 520/35","[405] 650 LP","Tray X","Tray Y","FSC Area","FSC Width","SSC Area","SSC Width","[405] 460/50 Area","[405] 460/50 Width","[355] 460/50 Area","[355] 460/50 Width","TIME"
"1","A2",904,7119,7490,27065,64037,363,1141,8964,0,32769,32769,49153,28312,908.092069241813,16970,69.5676329329695,908.347349167327,4.99654074864152,69.7340396296146,6.2362264225093,5.0077887028183,105.574630548007,13.800428715279,40.8915243820635,105.767691952343,1.10617347984676,40.9490331762589,3.21380145449691,1.10648444378214,1.02044373222845,3.21967844425138,1.02044373222845,1.02489919576881,1.02044373222845,1.02044373222845,152,1.02374753977828,1.02044373222845,152,40188,1.02159167162909,8572.46002806902,40188,634.674821481874,8580.89751083419,635.120959896949,903,7119,25941,9792,22994,7616,40546,9984,0,7488,1
"2","A3",1354,7119,7950,63084,64835,363,11032,8980,0,32769,32769,49153,27234,612.676814013747,16661,40.5823696467285,613.624698938972,2.08845065667342,40.6051896246083,11.0617347984676,2.09374048898994,127.846679599143,16.1552241555893,19.7595189411508,127.918569398232,2.78460233896054,19.770629967665,3.49017079157071,2.7920478154562,1.02274090239427,3.49458811934232,1.01800864211329,1.02590795746288,1.02044373222845,1.019583624263,154,1.02475516794972,1.02044373222845,154,28355,1.02173525482346,6366.40177620058,28355,465.029462221579,6365.50711361615,465.160189810222,1353,7119,26692,9664,24788,8192,28436,10368,0,7936,10
"3","A4",1804,7119,7508,11841,65513,363,65524,8964,0,32769,32769,49153,20064,744.5385806519,11869,59.1940196095991,745.271396135633,4.32925905734176,59.2439549425744,17.2413896000424,4.34083464072186,142.798656378228,23.4683954948548,24.870866593503,142.899035287356,4.78689290083136,24.9654194528352,3.11814627432502,4.79766890661342,1.02274090239427,3.1229704226859,1.02044373222845,1.02504324383079,1.02044373222845,1.02044373222845,153,1.02489919576881,11.0617347984676,153,33810,11.0772917394128,7810.88412944911,33810,632.271083814633,7817.47329339519,633.427300442897,1803,7119,21155,9152,17682,7808,34880,9920,0,7488,18
"4","A5",2254,7119,7654,12992,848,364,65524,8960,0,32769,32769,49153,22024,807.996850559915,13007,48.5191390535925,810.271140904396,5.83597309779716,48.560069191135,11.7096113415801,5.8482887703604,82.6952317730107,18.4342299240911,22.045642167292,82.927996253498,1.77378658968201,22.1014815284004,3.27075818967823,1.77553244719905,1.02274090239427,3.28088653330717,1.02044373222845,1.02518731213852,1.02044373222845,1.02044373222845,155,1.02489919576881,1.02749516080615,155,30635,1.03053209831872,6912.90588918988,30635,468.70376000144,6907.07916378409,469.296973989911,2253,7119,22152,9344,19072,7808,32885,10112,0,7616,28
"5","A6",2704,7119,6737,62360,2192,364,65531,9012,0,32769,32769,49153,25616,849.450709830194,11479,37.759511504577,850.286785554149,4.46269460632762,37.8019887423077,9.45999949637783,4.47525587218714,119.003990178268,16.5226085312692,20.9786406451052,119.255124676696,1.69745145669253,21.0465614810704,11.6341554753355,1.7019901065193,1.02274090239427,11.6767444965607,1.01800864211329,1.02533140069483,1.02274090239427,1.02015694898392,156,1.02518731213852,1.02749516080615,156,37825,1.03140144227966,8201.23760763464,37825,637.087697562875,8197.78056409619,638.970719110154,2703,7119,20383,8384,15184,6784,35051,9280,0,6720,44
"6","A7",3154,7119,7028,8137,2813,364,65528,17756,0,32769,32769,49153,22750,6.77060443558566,12334,29.2952275008292,9.42019859463327,3.30913401250784,29.2952275008292,72.7778986287807,3.31891472350292,361.294481521731,72.9724923508582,48.8200964195647,361.34526092529,3.12780203458614,48.9093723784354,4.82539327756507,3.13881078887944,1.02274090239427,4.82607147943392,1.02044373222845,1.02576378788376,1.02274090239427,1.02044373222845,155,1.02504324383079,1.02518731213852,155,17136,1.02749516080615,3778.60541813092,17136,292.335358772223,3784.98327547259,292.787636830332,3153,7119,20721,8640,17279,7296,17171,8704,0,6976,51
"7","A8",3604,7119,6631,49381,3377,364,65527,20860,0,32769,32769,49153,23079,7.07607586480834,11033,15.5996636464176,8.48376963201691,1.65458455053844,15.6303868384655,38.3693440762745,1.65784321816473,277.054952605803,38.4773432952025,45.0111710945031,277.444595606181,3.3184483205129,45.1442093015873,6.10270617938503,3.32358236029735,1.02274090239427,6.11300685519084,1.01800864211329,1.02518731213852,1.02274090239427,1.02001358758692,154,1.02504324383079,1.02749516080615,154,20666,1.03024247986215,4393.6177048433,20666,440.59845381008,4394.85282453922,440.165219191477,3603,7119,18364,8256,14214,6720,19562,8768,0,6656,57
"8","A9",4054,7119,7441,15542,3963,364,65531,17756,0,32769,32769,49153,25012,16.5924175392334,16709,50.1976739952536,21.8267592312113,6.35120959896949,50.2965372024014,144.636638667062,6.36371816560709,768.890080027791,145.023368462746,127.541598411503,769.322436609504,10.3372327987575,127.577452495957,8.48734727852242,10.3707008153529,1.02274090239427,8.50047822840733,1.01800864211329,1.02533140069483,1.02044373222845,1.02001358758692,153,1.02446717302885,1.02518731213852,153,16760,1.02908481974443,3651.74127254838,16760,336.872702264401,3652.25451936851,337.156883853501,4053,7119,23592,9664,23160,7680,17228,9984,0,7424,64
"9","A10",4504,7119,6668,62154,4532,364,65531,17780,0,32769,32769,49153,23683,5.93106009201819,10285,44.8533033680417,13.0901119081156,5.89284078106609,44.9985212547531,197.123666996952,5.91191955165143,1003.23761854327,197.428641084559,159.275302104359,1003.3786221027,7.62862539062481,159.297688011856,4.88269580117137,7.64257564669887,1.02274090239427,4.8985041076384,1.02044373222845,1.02561963856461,1.02274090239427,1.02044373222845,158,1.02504324383079,1.02749516080615,158,22132,1.02980820478338,4852.595834663,22132,366.15053072303,4851.91390535925,366.768551286734,4503,7119,19864,8384,13818,6848,21394,8896,0,6656,71
"10","A11",4954,7119,5770,60872,5136,364,65533,20988,0,32769,32769,49153,11361,15.6391760019622,8435,13.2735117878587,16.8319818396907,2.73688065178312,13.297784691424,32.652468234146,2.74844413601479,242.871176478438,32.8088653330717,31.4278341855734,243.417915512765,4.09087685347993,31.5118660049339,5.96952728269145,4.10066228493518,1.02274090239427,5.97540281706536,1.02044373222845,1.02533140069483,1.02274090239427,1.02144810861228,154,1.02504324383079,1.02749516080615,154,19261,1.03154640422275,4140.03864013444,19261,274.61275372457,4137.7119525592,274.496997019149,4953,7119,10766,7488,11218,6336,18288,8320,0,5760,78
"11","A12",5404,7119,6786,40136,5825,364,22268,17916,0,32769,32769,49153,17396,17.3556513809159,11204,80.561571565931,25.2760939494929,10.9472904456112,80.652198613025,217.869180971986,10.9889093256644,1213.17468617423,218.359636806809,236.172855450682,1215.05161373275,13.8081888702615,236.239247605167,24.0290889286127,13.8431636030784,1.02274090239427,24.0459799400211,1.02044373222845,1.02518731213852,1.02274090239427,1.02073059609257,154,1.02504324383079,1.02749516080615,154,17478,1.03009770115794,3817.57088106742,17478,305.739508091968,3827.77831135928,306.169492317648,5403,7119,16682,8448,15800,7040,16433,9344,0,6784,86
