"","Well","Tray X (kw)","Tray Y (kw)","Trigger Pulse Width","Time 1","Time 2","Time 3","Drop Phase","ROI Bits 1-16","ROI Bits 17-32","Classifier Bits","Sort Result Bits","Sort Enable Bits","FSC","*[488] 530/40","SSC","*[488] 670/30","[488] 530/40","*[488] 710/50","[488] 670/30","*[561] 585/29","[488] 710/50","*[561] 610/20","[561] 585/29","*[561] 670/30","[561] 610/20","*[561] 710/30","[561] 670/30","*[561] 750 LP","[561] 710/30","*[640] 670/30","[561] 750 LP","*[640] 720/40","[640] 670/30","*[640] 750 LP","[640] 720/40","*[355] 460/50","[640] 750 LP","*[355] 670/30","[355] 460/50","*[405] 460/50","[355] 670/30","*[405] 520/35","[405] 460/50","*[405] 650 LP","[405] 520/35","[405] 650 LP","Tray X","Tray Y","FSC Area","FSC Width","SSC Area","SSC Width","[405] 460/50 Area","[405] 460/50 Width","[355] 460/50 Area","[355] 460/50 Width","TIME"
"1","A2",904,7119,7228,47109,23042,344,59651,8980,0,32769,32769,49153,24664,688.382133287776,12895,40.8915243820635,688.575649061851,4.12899851388172,41.0008602392516,9.00213876426916,4.14062051642541,105.278300898885,14.7386271095751,37.9883892089507,105.530127984879,2.72728158747115,38.0257794537786,2.89880657885865,2.73342110276108,1.02274090239427,2.90492393958858,1.02044373222845,1.02504324383079,1.02274090239427,1.02058715408165,152,1.02518731213852,1.02749516080615,152,34134,1.03024247986215,7752.92052466279,34134,634.674821481874,7759.46079123842,636.192972036002,903,7119,23286,8896,17496,7360,34180,9728,0,7168,9
"2","A3",1354,7119,6622,8708,23782,344,65533,8980,0,32769,32769,49153,19106,414.994166723256,12844,24.5651728428857,416.220752891729,1.57826945810142,24.6170128051546,30.3598628063236,1.5784912815331,191.633178541595,33.8819394281474,77.3550675184356,191.794837888987,4.51061583118185,77.4965245890416,5.74079670776657,4.51124979154745,1.02274090239427,5.75857385862523,1.01800864211329,1.02533140069483,1.02274090239427,1.02015694898392,151,1.02533140069483,1.02749516080615,151,27774,1.03024247986215,6209.98884869186,27774,513.825235177558,6209.98884869186,514.186423566145,1353,7119,17630,8320,16992,7040,27638,9152,0,6592,17
"3","A4",1804,7119,6781,31835,24553,344,42533,8960,0,32769,32769,49153,26270,668.832522441731,13057,39.2088215144787,671.186575806205,1.76409104791254,39.3800151523056,22.1979810628946,1.76781381485368,170.870077190942,27.8381976049172,30.9718250120696,171.495579347903,4.92058344995351,31.0328233354621,5.39731461626162,4.93790215925199,1.02274090239427,5.42316639389508,1.02044373222845,1.02518731213852,1.02044373222845,1.02058715408165,151,1.02461116037068,1.02044373222845,151,35983,1.02374753977828,8260.23090158731,35983,612.676814013747,8273.01047504496,613.193660494452,1803,7119,21122,8448,17285,6848,37188,9280,0,6720,26
"4","A5",2254,7119,7718,7028,25617,344,723,8964,0,32769,32769,49153,26492,973.924723271907,15852,64.5378440274205,976.940612461497,3.8240145076907,64.6013656938849,18.2717348837622,3.8358560840867,187.345835214925,26.3682642888896,40.1286537248203,187.424839855757,2.44137378754102,40.2868743670391,4.07194821377971,2.44996655775727,1.02044373222845,4.08054125902769,1.01800864211329,1.02403533239816,1.02044373222845,1.01915384218024,145,1.02446717302885,1.02044373222845,145,34054,1.02073059609257,7850.5025850089,34054,668.832522441731,7854.91702154612,670.432378667622,2253,7119,24784,9344,22296,7744,35037,10048,0,7680,38
"5","A6",2704,7119,6995,45819,26403,344,65529,8964,0,32769,32769,49153,20629,458.926529568552,11713,20.2913999819637,459.895003681444,1.99296426545554,20.3570957948143,15.410090022448,1.99745072355956,108.021026701905,19.2632252908016,28.8377211135682,108.279414424238,1.02044373222845,28.8417742125028,6.35120959896949,1.02073059609257,1.02274090239427,6.36014177773364,1.02044373222845,1.02619635741244,1.02274090239427,1.02044373222845,152,1.02518731213852,1.02749516080615,152,32701,1.03024247986215,7557.13070384609,32701,602.939084946325,7562.44291444689,603.532530482498,2703,7119,19284,8640,16281,7424,33631,9536,0,6976,47
"6","A7",3154,7119,8479,50567,26873,344,307,17788,0,32769,32769,49153,39608,16.3631603968904,23956,152.270995665943,35.3310657742707,25.1732878223251,152.313801599116,524.845814629377,25.2157774767836,2597.10642171857,525.362396509118,466.207334377444,2594.55272140402,24.870866593503,467.256836222371,34.2505830369231,24.9338619596735,1.02044373222845,34.351816487376,1.01800864211329,1.02461116037068,1.02044373222845,1.0190106217486,146,1.02389142597673,1.02044373222845,146,18193,1.02044373222845,4120.30342447903,18193,342.987521810357,4115.67353293344,343.711329466956,3153,7119,38117,10816,33080,8448,18319,9152,0,8448,53
"7","A8",3604,7119,7133,45235,27330,344,65527,17916,0,32769,32769,49153,31874,9.76528805561937,12953,87.8837725459097,18.3747395266717,7.72355747690119,88.1435280520875,236.771057184133,7.74638577072367,1308.45940717896,237.404136211774,191.633178541595,1308.45940717896,9.8798642311022,191.74093629289,6.42753475430556,9.89654032125935,1.11569731191077,6.44109880131132,1.02044373222845,1.11726640007916,1.02274090239427,1.02087405826405,152,1.02561963856461,1.02518731213852,152,19859,1.02894020372477,4198.63295437127,19859,385.693816084739,4203.35617040454,386.12769902613,3603,7119,24913,9600,17158,7104,18665,9280,0,7104,58
"8","A9",4054,7119,6907,8419,27721,344,65531,16764,0,32769,32769,49153,27652,11.9003990178268,14686,33.9486691574287,13.6040115564041,4.46269460632762,34.0011918431085,46.3789381048329,4.4721122449288,287.446568794353,46.5160189810222,47.1412266395201,287.325402288657,1.15868355662674,47.1876256062108,3.55702097209455,1.16145514299508,1.02274090239427,3.56653174340712,1.02044373222845,1.02547550950258,1.02274090239427,1.02044373222845,153,1.02533140069483,1.02274090239427,153,18329,1.02662910935778,4051.96808134978,18329,368.577075953938,4053.67681580102,369.458717186833,4053,7119,22513,8512,18747,6912,18161,9344,0,6848,63
"9","A10",4504,7119,6942,13551,28254,344,65532,17756,0,32769,32769,49153,25509,11.4814716711704,13122,66.5176674722602,20.5410230681621,7.03739793731118,66.6767786112472,250.814723604308,7.04135515485809,1308.45940717896,251.308697647363,220.30156285898,1307.17281639017,9.84106254970499,220.332525916921,20.0645396155098,9.87708761595898,1.02274090239427,20.1266721671071,1.02044373222845,1.02518731213852,1.02274090239427,1.02044373222845,156,1.02504324383079,1.02274090239427,156,20190,1.02533140069483,4452.04525528588,20190,379.563696912432,4453.92270420785,381.060253769292,4503,7119,21765,8576,17470,7104,20528,9408,0,6912,69
"10","A11",4954,7119,6148,11677,28926,344,65523,20860,0,32769,32769,49153,17493,8.35362546957826,9161,19.4536664319202,9.58310722891419,2.22667201035192,19.4892408132023,33.8724173229952,2.22980354492587,222.135849150628,33.9964136975818,37.4582396010068,222.167070014787,2.14075223569707,37.4582396010068,4.84441900488126,2.14376293489712,1.02274090239427,4.8580547206143,1.02044373222845,1.02576378788376,1.02044373222845,1.02044373222845,150,1.02489919576881,1.02518731213852,150,19314,1.02894020372477,4237.75876171552,19314,342.987521810357,4237.16323470682,343.325108838406,4953,7119,14882,7808,12568,7104,18937,8768,0,6208,76
