"","Well","Tray X (kw)","Tray Y (kw)","Trigger Pulse Width","Time 1","Time 2","Time 3","Drop Phase","ROI Bits 1-16","ROI Bits 17-32","Classifier Bits","Sort Result Bits","Sort Enable Bits","FSC","*[488] 530/40","SSC","*[488] 670/30","[488] 530/40","*[488] 710/50","[488] 670/30","*[561] 585/29","[488] 710/50","*[561] 610/20","[561] 585/29","*[561] 670/30","[561] 610/20","*[561] 710/30","[561] 670/30","*[561] 750 LP","[561] 710/30","*[640] 670/30","[561] 750 LP","*[640] 720/40","[640] 670/30","*[640] 750 LP","[640] 720/40","*[355] 460/50","[640] 750 LP","*[355] 670/30","[355] 460/50","*[405] 460/50","[355] 670/30","*[405] 520/35","[405] 460/50","*[405] 650 LP","[405] 520/35","[405] 650 LP","Tray X","Tray Y","FSC Area","FSC Width","SSC Area","SSC Width","[405] 460/50 Area","[405] 460/50 Width","[355] 460/50 Area","[355] 460/50 Width","TIME"
"1","A2",904,7119,6763,7368,3586,278,65526,8980,0,32769,32769,49153,23294,291.719741674869,10657,20.6742463771031,292.540853033566,4.69165083808612,20.6771521117704,12.8929281522358,4.70419538548956,64.9929441780936,15.334476182772,23.1148777861726,64.9838107998601,1.12293341145539,23.1506392899554,6.78966183696474,1.1248287956805,2.37437503011036,6.79921064374411,1.02044373222845,2.37804847465142,1.02044373222845,1.02073059609257,65535,1.02475516794972,9334.53682694522,65535,29465,9335.84878225264,7127.97731036913,29465,589.532582039912,7125.97407942612,590.27872278844,903,7119,18666,8768,13954,6720,29750,9280,65535,9280,3
"2","A3",1354,7119,6847,53215,4449,278,65524,8960,0,32769,32769,49153,22364,573.676410593763,12154,39.0603238618659,574.725476765143,2.70818434119185,39.0932746614742,10.7945147723426,2.71428086574842,83.9127830241501,15.5908966887298,9.24965401719206,84.0426062200716,3.74740359210183,9.27308244657843,1.02044373222845,3.75900793247064,4.59636544260171,1.02116104310004,1.01800864211329,4.61254301945609,1.96929837908469,1.02030033053016,65535,1.97622961122336,9354.23552965747,65535,37188,9360.81099739652,8611.09922797235,37188,671.28091008403,8605.05039254697,672.886622885493,1353,7119,20082,8512,16259,6976,39869,9344,65535,9344,13
"3","A4",1804,7119,7181,22563,6214,278,65532,8960,0,32769,32769,49153,24487,842.199615988958,16210,61.4833219192878,844.332821641379,8.20123760763464,61.6477161747332,4.18625974839212,8.21277161848046,165.994146416068,11.213563645401,52.3299114681495,166.414592643638,1.50188175746489,52.432974069775,7.47579229475529,1.5029374904548,4.06223130285982,7.4957810863462,1.53538842322775,4.07366537394901,1.02274090239427,1.54209223934608,65535,1.02518731213852,9334.53682694522,65535,34628,9343.72438726517,8181.66695224257,34628,698.124863377748,8179.36759469828,699.794787269975,1803,7119,21466,9280,21522,7296,36138,9728,65535,9728,33
"4","A5",2254,7119,6482,54148,7610,278,65530,8980,0,32769,32769,49153,15554,284.992863098956,9948,27.8460233896054,285.594284443087,4.95876509082295,27.8930243185353,13.1972486226678,4.97132513658877,116.865948518559,15.6040489737524,32.1922598681321,117.030305800009,3.93855499550326,32.2148891001564,9.40300358227897,3.94353981985732,1.54969624967951,9.4175511629016,1.02044373222845,1.55122154526037,1.02044373222845,1.02044373222845,65535,1.02446717302885,9334.53682694522,65535,29763,9341.09844767522,7088.01947823462,29763,584.664518024804,7093.99884262168,585.322231346171,2253,7119,14654,8128,13463,6784,30621,9024,65535,9024,49
"5","A6",2704,7119,7264,29776,8592,278,65530,8964,0,32769,32769,49153,25697,934.897848123969,14322,41.4994166723256,936.475849646901,4.38683074858677,41.5461010842112,11.8237137299593,4.40041516133971,166.601799308447,19.6101298210114,22.3513726445081,166.953379614652,3.55702097209455,22.3702279823078,2.19806745279573,3.56352559787975,1.80699939773498,2.20270604152239,1.1324423785611,1.8120856072665,1.02044373222845,1.13578950550774,65535,1.02432320592138,9314.87960692682,65535,40951,9324.04781953857,8806.92339502308,40951,825.09490673931,8803.21103853824,826.255299116468,2703,7119,23985,8960,19565,7424,41199,9728,65535,9792,61
"6","A7",3154,7119,6373,59531,9392,278,65527,16756,0,32769,32769,49153,18892,3.39486691574287,9243,29.9025350295888,4.97202384896398,4.02416049196673,29.8983328632457,43.4816147721806,4.03775660954972,241.679462337027,43.640787427073,35.9319640942234,241.611541276653,6.31294395245806,36.0027313016803,5.28324061966438,6.33338285686118,1.66883004248173,5.29290193553339,1.02044373222845,1.67117704237744,2.47940883566908,1.02044373222845,65535,2.48464114000955,8690.12210776602,65535,22478,8680.3572145696,5136.08643939242,22478,389.342695488059,5141.86423566145,389.616380101356,3153,7119,16681,8000,12090,6400,21957,8896,65535,8896,70
"7","A8",3604,7119,5943,65415,10061,278,65526,16764,0,32769,32769,49153,21608,4.29109727201013,7789,21.055436917392,5.9135814914854,2.32190649600523,21.085048745434,44.7022712862329,2.32386522722133,298.437584083877,44.7336943075769,50.8080605371371,298.647367844404,5.56914562520517,50.8437755629013,4.97761708443287,5.58560618668251,1.02274090239427,4.98601873746434,1.02044373222845,1.02619635741244,1.26826628994852,1.02087405826405,65535,1.26987146867442,9060.52410903717,65535,20916,9059.25084476629,4882.00964195647,20916,391.812794199928,4890.24992046971,393.0260953331,3603,7119,16059,7616,10088,6016,20716,8448,65535,8448,78
"8","A9",4054,7119,8546,15213,10715,278,1462,17748,0,32769,32769,49153,36922,19.1471655453056,21881,94.5867009432378,29.7181972498955,9.84106254970499,94.8396070939012,292.335358772223,9.84659630319581,1620.75286088862,292.911106786636,253.864544833251,1622.80416354711,25.7095937883883,253.686218604348,19.1848754637727,25.7493696307709,2.8228226515964,19.1956633610178,4.83489678275167,2.82997257320863,1.02274090239427,4.84714308273809,65535,1.02518731213852,8318.47939724994,65535,20322,8321.98734006753,4764.74376893404,20322,401.568617667434,4766.08321839696,401.568617667434,4053,7119,34559,11072,33019,8576,21362,9536,65535,11008,85
"9","A10",4504,7119,6553,55149,11502,278,65527,17756,0,32769,32769,49153,20317,8.79208335559768,11658,30.819853245031,12.4986409719012,3.70967563394386,30.8848924792174,102.216612550035,3.71750417421604,729.827485264361,102.317219715759,101.002819217283,729.930061435042,13.3877928653482,101.002819217283,5.89284078106609,13.4198166426735,1.02518731213852,5.90361685587513,1.02044373222845,1.02894020372477,1.02274090239427,1.02044373222845,65535,1.02547550950258,8494.50709830194,65535,19356,8494.50709830194,4559.69241079543,19356,372.273237702106,4552.6489138382,373.373554865268,4503,7119,17604,8256,14968,6720,19522,8768,65535,9088,94
"10","A11",4954,7119,7067,41338,12139,278,65530,17748,0,32769,32769,49153,18372,7.57201430539082,12493,161.121434672621,29.714020988313,14.1122794577438,161.348031738078,612.676814013747,14.138086192528,3251.50900365676,612.935182776424,566.306775627694,3251.05207310937,28.6841246800227,566.704855398269,34.2505830369231,28.7486968983299,1.56876048185959,34.3325108838406,1.01800864211329,1.57273399201522,1.02274090239427,1.02015694898392,65535,1.02576378788376,8983.18152776069,65535,20821,8995.81524453958,4823.35924374618,20821,389.342695488059,4817.26228524571,389.014527708587,4953,7119,18789,8768,17702,7360,21013,9600,65535,9600,102
