"","Well","Tray X (kw)","Tray Y (kw)","Trigger Pulse Width","Time 1","Time 2","Time 3","Drop Phase","ROI Bits 1-16","ROI Bits 17-32","Classifier Bits","Sort Result Bits","Sort Enable Bits","FSC","*[488] 530/40","SSC","*[488] 670/30","[488] 530/40","*[488] 710/50","[488] 670/30","*[561] 585/29","[488] 710/50","*[561] 610/20","[561] 585/29","*[561] 670/30","[561] 610/20","*[561] 710/30","[561] 670/30","*[561] 750 LP","[561] 710/30","*[640] 670/30","[561] 750 LP","*[640] 720/40","[640] 670/30","*[640] 750 LP","[640] 720/40","*[355] 460/50","[640] 750 LP","*[355] 670/30","[355] 460/50","*[405] 460/50","[355] 670/30","*[405] 520/35","[405] 460/50","*[405] 650 LP","[405] 520/35","[405] 650 LP","Tray X","Tray Y","FSC Area","FSC Width","SSC Area","SSC Width","[405] 460/50 Area","[405] 460/50 Width","[355] 460/50 Area","[355] 460/50 Width","TIME"
"1","A2",904,7119,6762,7029,38399,338,2228,8980,0,32769,32769,49153,25699,627.314536763414,11846,31.4278341855734,628.373372545693,2.05496853165006,31.5207245194821,10.5663691983012,2.06249113168727,86.0505039254697,15.807112313056,35.093529628834,86.1836344334526,1.86426571412619,35.1132631628003,2.97516284803117,1.86872506233279,1.02044373222845,2.98689342289044,1.02044373222845,1.02489919576881,1.02044373222845,1.02044373222845,148,1.02489919576881,1.02044373222845,148,32095,1.02173525482346,7186.31661837475,32095,517.521292356893,7186.31661837475,518.394809596372,903,7119,20819,8448,15506,6912,32723,9280,0,6720,2
"2","A3",1354,7119,7339,43994,39502,338,65525,8980,0,32769,32769,49153,23666,803.128719319073,18659,54.1631125025476,804.597378575655,5.77884199707786,54.2545336927742,6.71375257620397,5.77884199707786,152.570890019385,13.3953209899922,36.6923219350903,152.828412375746,4.92058344995351,36.7335986470929,2.45065528448616,4.94067880386461,1.02274090239427,2.45272262656641,1.02044373222845,1.02504324383079,1.02274090239427,1.02044373222845,150,1.02561963856461,1.02749516080615,150,40282,1.02966348710731,8591.75790682728,40282,668.832522441731,8585.72265764279,669.020542492003,1353,7119,19795,9728,25408,7488,39765,9664,0,7296,15
"3","A4",1804,7119,7116,63889,40086,338,65533,9012,0,32769,32769,49153,22980,783.617279274597,16010,56.1472659268165,784.609062936993,4.10989348383773,56.2183286030836,19.9857391527371,4.11856660510962,218.482423182399,26.5579369749691,48.5191390535925,219.128185315506,1.01800864211329,48.5123207188618,6.67517860799176,1.02030033053016,1.02274090239427,6.69867287020742,1.02044373222845,1.02561963856461,1.02274090239427,1.02073059609257,154,1.02504324383079,1.02274090239427,154,27662,1.02561963856461,6131.93660494452,27662,400.328945124955,6136.24698938972,400.779291728896,1803,7119,20510,8768,21234,7552,27077,9728,0,7104,22
"4","A5",2254,7119,6728,11785,40953,338,65529,8980,0,32769,32769,49153,22054,727.472207754818,11157,41.8038056806367,727.06337085878,6.2362264225093,41.9096904529374,5.3212441237463,6.25817572864941,109.842772030755,11.3770658936136,18.9197983757214,109.96633871249,2.85113045961644,18.9464066963318,10.3372327987575,2.85995936941389,1.02274090239427,10.3546808751779,1.01800864211329,1.02561963856461,1.02044373222845,1.02030033053016,150,1.02475516794972,1.02518731213852,150,35237,1.02749516080615,7889.21317653897,35237,609.071065963887,7880.34824655095,608.4721744592,2253,7119,19640,8384,14989,6912,34390,9280,0,6720,32
"5","A6",2704,7119,7947,60273,42035,338,9850,8981,0,32769,32769,49153,26927,1120.41119969583,19732,66.6767786112472,1123.56485106409,9.68873527477042,66.8550591438067,12.5867773742747,9.69690857040478,143.100004836309,21.9621475355808,28.303703216568,143.240851666804,2.98479529043721,28.3594467331782,6.9616534815393,2.98941312874278,1.02274090239427,6.96263193161163,1.02044373222845,1.02533140069483,1.02274090239427,1.02058715408165,156,1.02533140069483,1.02749516080615,156,34257,1.03154640422275,7635.06080338335,34257,596.868839238978,7644.72410301504,596.533400989963,2703,7119,28422,9664,28802,8256,34473,9664,0,7936,44
"6","A7",3154,7119,7739,8602,42633,338,65530,17681,0,32769,32769,49153,28197,19.0344799446004,19733,66.3682626710447,25.9564685678012,9.68873527477042,66.424250105541,191.014745659011,9.7009978034422,1076.42164444363,191.202752791049,174.534917165122,1077.93549631766,9.13596431451129,175.001589050455,15.8672070291514,9.15009875317952,1.02274090239427,15.8939890748123,1.02044373222845,1.02547550950258,1.02274090239427,1.02044373222845,156,1.02561963856461,1.02749516080615,156,20041,1.02966348710731,4462.06746936228,20041,400.328945124955,4463.32183143613,400.891957515996,3153,7119,27842,9408,26645,7808,21534,9856,0,7680,51
"7","A8",3604,7119,6407,64330,43375,338,65522,17788,0,32769,32769,49153,18969,7.51476713464062,11656,32.8781019857845,11.3276072712491,3.11814627432502,32.9289683749305,105.278300898885,3.1229704226859,496.783304727459,105.352305243654,67.2792062958831,497.062652240274,5.62657536804246,67.4306617662846,6.35120959896949,5.64082690906791,1.02274090239427,6.36908651848558,1.02044373222845,1.02504324383079,1.02274090239427,1.02087405826405,156,1.02504324383079,1.02274090239427,156,18567,1.02504324383079,3954.08406620361,18567,347.841852984333,3956.86355065559,348.918992170797,3603,7119,16764,8064,15207,6848,18214,8576,0,6464,60
"8","A9",4054,7119,6643,31665,43998,338,65523,17724,0,32769,32769,49153,21602,9.28742902353455,12180,40.8915243820635,13.6576499231424,8.00987038231244,40.8972716251711,120.231174563898,8.03128719319073,717.622416022927,120.332600075723,155.318484574651,716.916787414796,4.85395998081644,155.493208768116,11.4814716711704,4.86078646600592,1.02274090239427,11.5202632251302,1.01800864211329,1.02561963856461,1.02274090239427,1.02015694898392,156,1.02518731213852,1.02518731213852,156,16702,1.02749516080615,3593.19640942234,16702,292.911106786636,3588.15012684166,293.405507510224,4053,7119,18886,8320,15724,6848,16171,9152,0,6592,67
"9","A10",4504,7119,6619,53344,44606,338,1924,17788,0,32769,32769,49153,29221,14.8383878549223,12754,32.1922598681321,16.9482935127552,3.06126466696755,32.2194168550431,57.5210307973446,3.06988129049667,372.273237702106,57.7640605882787,72.0148192515813,373.321085140407,3.20433050816634,72.0553140919923,3.15650544603849,3.21832126267781,1.02274090239427,3.16583503722622,1.01800864211329,1.02533140069483,1.02274090239427,1.02030033053016,152,1.02504324383079,1.02044373222845,152,17991,1.02116104310004,3739.51208786617,17991,327.121788989109,3741.61486263929,327.305733693514,4503,7119,22792,8256,16125,6720,17236,8832,0,6592,74
"10","A11",4954,7119,7107,57998,45174,338,38884,17788,0,32769,32769,49153,28020,11.8619944047817,14064,85.1362949345541,20.9197572449063,8.21969980967484,85.4119337817398,250.216203142183,8.2277900865909,1445.14727854064,250.321720519908,220.921651559743,1448.19697743231,13.5791796864143,221.294542248613,17.660755469655,13.6288888357472,1.02274090239427,17.6781381485368,1.01800864211329,1.02533140069483,1.02274090239427,1.01987024633632,152,1.02504324383079,1.02749516080615,152,17920,1.0308217981919,3729.54003466518,17920,304.538762139794,3731.63720202711,304.752834663347,4953,7119,23620,8832,18855,7232,17479,9344,0,7104,80
