"","Well","Tray X (kw)","Tray Y (kw)","Trigger Pulse Width","Time 1","Time 2","Time 3","Drop Phase","ROI Bits 1-16","ROI Bits 17-32","Classifier Bits","Sort Result Bits","Sort Enable Bits","FSC","*[488] 530/40","SSC","*[488] 670/30","[488] 530/40","*[488] 710/50","[488] 670/30","*[561] 585/29","[488] 710/50","*[561] 610/20","[561] 585/29","*[561] 670/30","[561] 610/20","*[561] 710/30","[561] 670/30","*[561] 750 LP","[561] 710/30","*[640] 670/30","[561] 750 LP","*[640] 720/40","[640] 670/30","*[640] 750 LP","[640] 720/40","*[355] 460/50","[640] 750 LP","*[355] 670/30","[355] 460/50","*[405] 460/50","[355] 670/30","*[405] 520/35","[405] 460/50","*[405] 650 LP","[405] 520/35","[405] 650 LP","Tray X","Tray Y","FSC Area","FSC Width","SSC Area","SSC Width","[405] 460/50 Area","[405] 460/50 Width","[355] 460/50 Area","[355] 460/50 Width","TIME"
"1","A2",904,7119,6811,26411,10807,294,65526,9012,0,32769,32769,49153,25873,517.521292356893,15579,32.0388020755469,517.739533577887,4.32925905734176,32.0973905459953,6.98026756752297,4.33900486147827,101.301350307508,11.2989880878654,28.148994787514,101.572210103946,1.27792788764764,28.2123623490771,10.5278300898885,1.28260598379709,1.35887250370383,10.5589468905757,1.02044373222845,1.36288888357472,1.78328478065298,1.02116104310004,65535,1.78805293182977,9372.65848935407,65535,44490,9388.47847375108,8865.28845575633,44490,869.012210776602,8870.27351917721,869.012210776602,903,7119,20270,9152,19893,6912,41008,8512,65535,9344,2
"2","A3",1354,7119,7636,55681,11400,294,402,8964,0,32769,32769,49153,27560,834.775749566076,17728,45.0111710945031,836.654953569677,7.99075638751226,45.0618060243243,19.6819164012189,8.01212209134485,198.346397258605,26.6589036569907,41.3480543180313,198.960603614592,4.7300499029793,41.3480543180313,2.25058241863605,4.73071470447825,3.8240145076907,2.25501489086331,1.78328478065298,3.83208433765129,1.02274090239427,1.78629476308618,65535,1.02605214730483,9354.23552965747,65535,28998,9356.8651623017,7069.11805321824,28998,501.624128211926,7087.02340760511,501.624128211926,1353,7119,27008,9280,25067,7808,30073,9984,65535,10176,9
"3","A4",1804,7119,7258,18549,11817,294,65526,8980,0,32769,32769,49153,36182,834.775749566076,15268,39.5186188446379,836.772544182598,3.52814468496536,39.5797589142664,14.7241348129287,3.53261007432017,133.352143216332,21.7105048170512,24.2598267643626,133.427128806994,1.40174004499285,24.2632364470358,8.20123760763464,1.40450074096551,1.76409104791254,8.21854470540503,1.18004729598236,1.7700512449182,1.29692552889851,1.18237137299593,65535,1.30295434723453,9372.65848935407,65535,38195,9368.70766022085,8533.99420762976,38195,683.465814358603,8531.5958328146,684.138518694389,1803,7119,29476,9792,20468,7296,37854,9024,65535,9792,14
"4","A5",2254,7119,6862,20589,12563,294,65528,8960,0,32769,32769,49153,17838,535.801476743595,11415,51.570618939838,537.083120951446,2.33630895401875,51.6576642949951,13.7694316826522,2.3412392742245,122.052829394381,18.2537685290799,25.5546950698798,122.413577386432,3.40442253844353,25.6122224780623,6.71375257620397,3.4116069021388,1.18004729598236,6.71941621372373,1.01800864211329,1.18187297147281,1.3016731694982,1.02015694898392,65535,1.30387024616059,9372.65848935407,65535,24686,9379.24690733121,5994.74889202941,24686,484.578085239058,6006.55541719964,485.055033423032,2253,7119,16847,8512,16019,7168,26554,9408,65535,9408,23
"5","A6",2704,7119,8754,43008,13252,294,710,8960,0,32769,32769,49153,19096,776.273299321802,18642,45.0111710945031,776.928153746913,6.48469640456816,45.1695944593943,10.7189283319765,6.50660574316996,145.861417469916,17.1785044433238,39.9710544703864,146.066553237415,3.19443849874818,40.0385210764483,11.7096113415801,3.20342997022323,2.25533182986192,11.7112571100882,1.80243401637071,2.26104435515427,1.47801123174728,1.80699939773498,65535,1.48050594705686,9372.65848935407,65535,30354,9379.24690733121,7342.51304131718,30354,598.044359198315,7343.54502063581,598.717124056942,2703,7119,24170,11008,31247,8896,32709,10496,65535,11264,31
"6","A7",3154,7119,7889,28467,13745,294,65529,17744,0,32769,32769,49153,29169,11.4428107378943,18525,154.404398534422,35.876458885327,18.0420807024773,154.621548932025,676.204606533356,18.0826961016513,3319.84772614891,676.965297090035,624.938675093488,3317.04950476424,31.9623477177301,627.402704891215,46.2292653780032,32.0072987462055,2.45065528448616,46.2942810346363,1.02044373222845,2.45479171263054,1.68793592691323,1.02130456577021,65535,1.69554406897402,7752.92052466279,65535,17251,7760.55137194494,4120.30342447903,17251,362.515159042586,4120.30342447903,363.382300090178,3153,7119,27850,9536,27297,8256,18939,10112,65535,10432,36
"7","A8",3604,7119,7974,58022,14284,294,1109,17756,0,32769,32769,49153,40084,15.7140837160975,17131,71.7118324759179,22.2135849150628,9.68873527477042,71.8126861632664,178.203211872571,9.70781702430648,1010.59614375388,178.554179151482,196.515131402541,1012.72880800568,11.9389279703593,196.680909104174,8.33486245818386,11.980948764226,1.22069983738542,8.33486245818386,1.37791107690433,1.22671907147574,1.02274090239427,1.38276083539797,65535,1.02576378788376,8377.13864259831,65535,17637,8374.78435012346,4090.87685347993,17637,388.1407652874,4090.87685347993,388.195317896328,3603,7119,33152,10496,23501,7936,18100,9408,65535,10496,43
"8","A9",4054,7119,7978,48127,14752,294,65525,17664,0,32769,32769,49153,42932,9.07836861059604,18802,186.74123831895,34.3421623290166,20.8258873845417,187.030149537184,698.124863377748,20.8639711082937,3397.73078292003,698.22298379194,501.624128211926,3403.94411914581,20.5208253524922,501.906197780791,22.4268894861506,20.6075270653454,2.2458430090014,22.4742170222607,2.30759282367927,2.24710587482794,1.02274090239427,2.31148777861726,65535,1.02518731213852,7908.08427863758,65535,19447,7905.86180816143,4589.26529568552,19447,412.551827837339,4582.82013464199,412.43588518613,4053,7119,35513,10368,26054,7936,21403,9728,65535,10496,48
"9","A10",4504,7119,6158,13558,15268,294,65530,17756,0,32769,32769,49153,15457,5.64558543994347,9275,29.4479573729593,9.02367199907027,6.21784850881766,29.4769416589158,93.0702831449964,6.2309700542736,598.044359198315,93.424113252087,86.6573044452599,597.624265106946,7.38079303343816,86.5964323360065,8.06748713000264,7.38701937792662,1.77852934457272,8.08678466575212,1.97400896681286,1.78328478065298,1.02274090239427,1.97817472420495,65535,1.02518731213852,7245.13340753812,65535,17771,7247.17013616869,3944.64841510397,17771,358.815012684166,3945.75732199534,359.01677888766,4503,7119,13788,7808,12296,6528,18197,8704,65535,8704,54
"10","A11",4954,7119,7002,50391,15738,294,65532,17756,0,32769,32769,49153,19895,13.541065287804,13004,50.5019451028801,18.3979954794759,8.94412965032872,50.6583311834977,134.556985809995,8.95796729763458,737.146335539608,134.727287593426,135.182480185127,739.63687444179,10.2605214730483,135.429684644481,11.3674764329803,10.2792846046314,1.40667367300632,11.3898644260465,1.16816686359416,1.41102962765284,1.35887250370383,1.17178424975489,65535,1.36097484335845,7069.11805321824,65535,20442,7069.11805321824,4716.11063217919,20442,461.383968273321,4708.82551118966,462.032846887593,4953,7119,17656,8640,17319,6976,20420,9600,65535,9600,59
"11","A12",5404,7119,6432,3436,16286,294,65525,20860,0,32769,32769,49153,15686,5.16867120506289,9933,26.8544407969675,6.35031707132297,1.07763255571519,26.9451718041999,32.5745494816255,1.08051393225944,214.195600765741,32.6432916568528,39.6688588209801,214.346167453763,3.07074428566392,39.8084791406253,4.14819235454196,3.07333472705306,1.80699939773498,4.15753055067957,1.18486653505955,1.81106722134449,1.27308792347136,1.18636615905033,65535,1.27720969653961,8611.09922797235,65535,20284,8606.2598196179,4628.1270592513,20284,368.577075953938,4628.77753564572,368.525280272338,5403,7119,15031,8384,13259,6656,19202,8128,65535,8960,66
"12","A13",5854,7119,7122,16389,16939,294,65531,35164,0,32769,32769,49153,27098,61.0270617938503,14195,79.3368763893986,70.5819816937252,8.52560284426084,79.392645465296,263.645587892518,8.53519364785928,1513.32302768335,264.499171736731,239.818571920268,1513.53572299055,14.5329411737805,240.088353760282,13.1972486226678,14.5268151458828,2.09315206880402,13.2343952713156,1.02044373222845,2.09668507207163,1.80243401637071,1.02073059609257,65535,1.8075073756012,7029.49017279575,65535,19658,7026.52705250305,4452.04525528588,19658,417.392300576375,4453.92270420785,417.333644951504,5853,7119,21834,8832,19349,7232,20261,9408,65535,9664,73
"13","A14",6304,7119,6615,63252,17457,294,65525,35324,0,32769,32769,49153,21275,74.45385806519,12189,37.0759080890818,76.7378744586351,3.70967563394386,37.1280506980973,59.9559144509566,3.71698175794244,416.220752891729,60.5912159393742,90.9369186705876,416.923286311029,3.87160128205406,91.1288231388724,8.25790946460484,3.87922631503024,2.12665848850826,8.27417323439792,1.02044373222845,2.13174548369618,1.02274090239427,1.02058715408165,65535,1.02504324383079,8651.12832121023,65535,21074,8642.62178142027,5077.23705992633,21074,411.336053846524,5070.81918763296,411.740913228038,6303,7119,17931,9152,15380,6720,19742,8064,65535,9152,79
"14","A15",6754,7119,7420,29634,18220,294,65531,35188,0,32769,32769,49153,23356,364.917612013416,13476,76.8998146388234,371.12400220218,9.24965401719206,76.9971427373956,173.922770671463,9.28351412092708,934.897848123969,177.278972767707,221.512352408139,935.949553417982,9.40300358227897,221.855058733556,14.4190134478977,9.41887478575082,1.02274090239427,14.4271214408709,1.01800864211329,1.02518731213852,1.02044373222845,1.02015694898392,65535,1.02489919576881,9119.28812476027,65535,22776,9135.9643145113,5311.53107390676,22776,518.686309530728,5322.74001480136,519.707850729404,6753,7119,18251,9344,18936,7360,22160,9920,65535,9984,88
"15","A16",7204,7119,6780,53759,19247,294,65525,35188,0,32769,32769,49153,29587,53.399730165743,11966,49.4345700981949,56.9579302228746,5.60684127449374,49.5528182426737,94.2814535609023,5.62420361429623,598.044359198315,94.8929366001586,109.54985735614,597.540281706536,6.88478884375702,109.842772030755,7.91475543941116,6.908049943517,4.40536537053136,7.92588654906164,1.02044373222845,4.41900717823961,1.02044373222845,1.02058715408165,65535,1.02489919576881,8806.92339502308,65535,21292,8804.44831679408,4843.05754010256,21292,345.406159668612,4842.37695120356,346.475756402395,7203,7119,23184,9088,15296,6784,20665,8384,65535,9280,100
"16","A17",7654,7119,6734,47784,19991,294,65524,35072,0,32769,32769,49153,25252,500.427099980426,14140,48.5191390535925,504.735631822244,4.42460008595018,48.662545659375,89.7056555376501,4.43456051688049,465.029462221579,94.0432516048731,130.901119081156,464.572204916287,5.49296875782615,131.06679382408,10.2980820478338,5.49914802579007,1.3874326617192,10.3183638923435,1.02044373222845,1.38918866312826,1.02274090239427,1.02058715408165,65535,1.02504324383079,9392.43764033157,65535,30122,9408.2910096919,7283.92931518295,30122,574.887041745026,7287.00098324928,575.857385862523,7653,7119,19745,8448,18357,6912,32127,9280,65535,9280,109
"17","A18",8104,7119,6933,28957,20464,294,65532,35092,0,32769,32769,49153,18723,265.467420860016,13163,39.2088215144787,268.922081957711,9.38320218091568,39.3689478801393,84.5282646587721,9.39507801223045,569.979682389665,86.8157722590268,115.949804182141,571.102244750133,6.48469640456816,116.063928304179,3.2993821248829,6.50569137789508,1.97400896681286,3.30123740903123,1.10850784125447,1.97650736736437,1.33502156562999,1.10944296457476,65535,1.34047370989564,9334.53682694522,65535,25584,9334.53682694522,6229.21891626148,25584,551.695216941057,6232.72168456002,551.617687893102,8103,7119,18470,9472,17492,7104,25290,9152,65535,9472,114
"18","A19",8554,7119,5613,6592,21099,294,65527,4476,1,32769,32769,49153,11839,5.43537474566488,7425,15.4469511612783,6.00486734817967,1.01088023929555,15.4708494577563,15.334476182772,1.01201742032706,119.607603574419,15.4122558877467,24.9443766893253,119.74215511942,1.7070206290927,25.0110730242888,3.34701919578109,1.70870077190942,1.07279706855609,3.35691188290865,1.01800864211329,1.07506099561705,1.02044373222845,1.01987024633632,65535,1.02489919576881,7498.94209332456,65535,19941,7509.48841371846,4472.1122449288,19941,346.621866897246,4475.25587218714,347.109347026888,8553,7119,10708,7232,9235,5696,19007,8128,65535,8128,121
